"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","112","55","0","2023","1","",256,2217,2218,2244,32078339,17181384,81434,1108,"",0.69,0.63,0.62,0.62,0.94,0.70,0.96,1.51,"",10,4.1,157,7.6,150,7.3,188,9.1,5876495,22.4,2372537,16.0,-54259,-40.0,130,13.3
"01001","5","112","75","0","2023","1","",4,17,17,16,131324,112602,225,606,"",1.57,0.84,0.83,0.78,0.83,0.92,0.46,1.02,"",0,0.0,-2,-10.5,-3,-15.0,-4,-20.0,11824,9.9,9827,9.6,-754,-77.0,139,29.8
"01003","5","112","75","0","2023","1","",4,45,42,47,447408,318121,920,771,"",0.20,0.33,0.30,0.33,0.42,0.33,0.28,1.32,"",-1,-20.0,-3,-6.2,-6,-12.5,-2,-4.1,18045,4.2,-19052,-5.7,-1711,-65.0,88,12.9
"01005","5","112","75","0","2023","1","N",3,0,0,0,0,0,0,0,"N",2.11,0,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","112","75","0","2023","1","N",1,0,0,0,0,0,0,0,"N",0.98,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","112","75","0","2023","1","",8,35,34,36,364228,242156,484,801,"",3.57,2.31,2.21,2.35,3.57,2.74,1.87,1.56,"",0,0.0,-16,-31.4,-18,-34.6,-14,-28.0,-33478,-8.4,-45868,-15.9,-1532,-76.0,201,33.5
"01011","5","112","75","0","2023","1","N",1,0,0,0,0,0,0,0,"N",1.95,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","112","75","0","2023","1","N",1,0,0,0,0,0,0,0,"N",0.76,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","112","75","0","2023","1","",5,113,116,116,2031181,988996,9466,1359,"",0.74,1.49,1.52,1.52,3.28,2.22,6.23,2.17,"N",1,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","112","75","0","2023","1","",3,21,22,22,176104,137461,1721,625,"",1.63,1.42,1.47,1.46,1.59,1.41,5.12,1.09,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01019","5","112","75","0","2023","1","N",1,0,0,0,0,0,0,0,"N",0.86,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","112","75","0","2023","1","N",4,0,0,0,0,0,0,0,"N",1.83,0,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01023","5","112","75","0","2023","1","N",1,0,0,0,0,0,0,0,"N",1.13,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01025","5","112","75","0","2023","1","N",1,0,0,0,0,0,0,0,"N",0.54,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","5","112","75","0","2023","1","N",3,0,0,0,0,0,0,0,"N",5.13,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01029","5","112","75","0","2023","1","",3,18,19,18,216078,136351,272,907,"",4.33,4.17,4.37,4.10,5.89,4.74,2.17,1.40,"",0,0.0,-1,-5.3,-1,-5.0,-1,-5.3,27324,14.5,2486,1.9,-968,-78.1,156,20.8
"01031","5","112","75","0","2023","1","N",6,0,0,0,0,0,0,0,"N",1.91,0,0,0,0,0,0,0,"N",1,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","5","112","75","0","2023","1","N",3,0,0,0,0,0,0,0,"N",0.81,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01035","5","112","75","0","2023","1","N",1,0,0,0,0,0,0,0,"N",1.51,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01039","5","112","75","0","2023","1","",5,10,9,10,73634,58583,1229,586,"",1.93,0.48,0.44,0.48,0.50,0.44,2.54,1.07,"",0,0.0,3,42.9,3,50.0,4,66.7,30701,71.5,20158,52.5,-73,-5.6,65,12.5
"01041","5","112","75","0","2023","1","",3,12,10,10,61441,56592,451,443,"",4.25,2.10,1.66,1.65,1.52,1.43,1.62,0.85,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","112","75","0","2023","1","",10,192,193,191,2150324,1434410,2870,862,"",1.88,3.63,3.64,3.58,5.16,3.80,2.47,1.43,"",-1,-9.1,3,1.6,3,1.6,-4,-2.1,290344,15.6,119113,9.1,-6626,-69.8,114,15.2
"01045","5","112","75","0","2023","1","",4,13,12,10,96714,72526,588,638,"",1.53,0.42,0.39,0.32,0.33,0.37,1.12,0.87,"",1,33.3,5,62.5,3,33.3,3,42.9,32102,49.7,24045,49.6,88,17.6,17,2.7
"01047","5","112","75","0","2023","1","",7,35,34,35,404159,245170,491,897,"",3.01,1.81,1.74,1.75,2.81,1.93,0.71,1.59,"",0,0.0,2,6.1,0,0.0,0,0.0,71654,21.5,-1727,-0.7,-1466,-74.9,145,19.3
"01049","5","112","75","0","2023","1","",22,178,184,193,2247401,1365837,5280,934,"",6.44,4.59,4.74,4.95,7.48,4.85,6.67,1.57,"",0,0.0,27,17.9,29,18.7,39,25.3,638736,39.7,306495,28.9,-5652,-51.7,127,15.7
"01051","5","112","75","0","2023","1","N",2,0,0,0,0,0,0,0,"N",0.49,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01053","5","112","75","0","2023","1","N",2,0,0,0,0,0,0,0,"N",0.90,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01059","5","112","75","0","2023","1","N",1,0,0,0,0,0,0,0,"N",0.62,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01061","5","112","75","0","2023","1","",12,37,36,33,226159,163069,523,492,"",8.14,3.95,3.86,3.48,3.67,2.56,2.65,0.97,"N",-1,-7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01063","5","112","75","0","2023","1","",7,20,21,21,187406,152299,522,698,"",16.31,6.57,7.11,7.14,9.94,9.54,5.69,1.43,"",0,0.0,1,5.3,0,0.0,0,0.0,8625,4.8,10654,7.5,-1642,-75.9,22,3.3
"01065","5","112","75","0","2023","1","",18,65,66,68,701278,450141,1700,813,"",23.65,14.59,14.69,15.08,21.32,18.26,21.82,1.44,"",-2,-10.0,-13,-16.7,-15,-18.5,-14,-17.1,55595,8.6,-35894,-7.4,-4782,-73.8,195,31.6
"01067","5","112","75","0","2023","1","N",2,0,0,0,0,0,0,0,"N",2.02,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01071","5","112","75","0","2023","1","",6,6,6,5,43099,34900,470,585,"",2.12,0.23,0.23,0.19,0.22,0.18,0.66,1.03,"",0,0.0,-2,-25.0,-2,-25.0,-2,-28.6,-10957,-20.3,-4756,-12.0,-267,-36.2,43,7.9
"01073","5","112","75","0","2023","1","N",4,0,0,0,0,0,0,0,"N",0.07,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01075","5","112","75","0","2023","1","N",2,0,0,0,0,0,0,0,"N",2.74,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01079","5","112","75","0","2023","1","N",5,0,0,0,0,0,0,0,"N",3.70,0,0,0,0,0,0,0,"N",1,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01081","5","112","75","0","2023","1","N",2,0,0,0,0,0,0,0,"N",0.20,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01083","5","112","75","0","2023","1","N",8,0,0,0,0,0,0,0,"N",1.82,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01085","5","112","75","0","2023","1","N",4,0,0,0,0,0,0,0,"N",7.93,0,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01089","5","112","75","0","2023","1","N",4,0,0,0,0,0,0,0,"N",0.13,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01091","5","112","75","0","2023","1","N",2,0,0,0,0,0,0,0,"N",1.50,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01093","5","112","75","0","2023","1","N",1,0,0,0,0,0,0,0,"N",0.60,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01095","5","112","75","0","2023","1","",9,178,187,187,3821905,2136629,4273,1598,"",1.52,2.60,2.70,2.68,7.61,4.26,3.36,2.86,"",-1,-10.0,13,7.9,21,12.7,14,8.1,854938,28.8,326747,18.1,-10600,-71.3,239,17.6
"01097","5","112","75","0","2023","1","",5,25,20,20,210380,155418,929,747,"",0.17,0.08,0.07,0.07,0.08,0.08,0.12,1.06,"",1,25.0,-1,-3.8,-3,-13.0,0,0.0,15668,8.0,11394,7.9,-880,-48.6,96,14.7
"01099","5","112","75","0","2023","1","N",1,0,0,0,0,0,0,0,"N",0.83,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01101","5","112","75","0","2023","1","",7,24,21,28,235710,180394,481,745,"",0.41,0.11,0.09,0.12,0.11,0.14,0.10,1.06,"",0,0.0,-8,-25.0,-10,-32.3,-1,-3.4,-41657,-15.0,-44435,-19.8,-1623,-77.1,49,7.0
"01103","5","112","75","0","2023","1","",8,21,22,25,290182,149037,297,985,"",1.04,0.24,0.25,0.28,0.34,0.22,0.14,1.36,"",1,14.3,1,5.0,2,10.0,5,25.0,28816,11.0,7190,5.1,-1170,-79.8,-20,-2.0
"01105","5","112","75","0","2023","1","",4,17,5,15,207107,128040,1292,1292,"",9.65,5.55,1.62,4.89,11.06,7.99,17.72,2.75,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
