state,county,collection_date,date detected,hpai strain,bird species,woah classification,sampling method,submitting agency,quarter,year,month,state_code,county_code
california,solano,2025-12-06,12/23/2025,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP,4,2025,12,6,6095
california,solano,2025-12-06,12/23/2025,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP,4,2025,12,6,6095
colorado,larimer,2025-12-01,12/23/2025,EA H5,Cackling goose,Wild bird,Morbidity/Mortality,NWDP,4,2025,12,8,8069
oregon,columbia,2025-12-13,12/23/2025,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP,4,2025,12,41,41009
oregon,morrow,2025-12-06,12/23/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP,4,2025,12,41,41049
nevada,churchill,2025-12-07,12/23/2025,EA H5,Bufflehead,Wild bird,Hunter harvest,NWDP,4,2025,12,32,32001
nevada,churchill,2025-12-07,12/23/2025,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP,4,2025,12,32,32001
nevada,churchill,2025-12-07,12/23/2025,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP,4,2025,12,32,32001
nevada,churchill,2025-12-07,12/23/2025,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP,4,2025,12,32,32001
nevada,churchill,2025-12-07,12/23/2025,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP,4,2025,12,32,32001
nevada,churchill,2025-12-07,12/23/2025,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP,4,2025,12,32,32001
nevada,churchill,2025-12-05,12/23/2025,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP,4,2025,12,32,32001
missouri,saline,2025-12-04,12/23/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP,4,2025,12,29,29195
missouri,saline,2025-12-04,12/23/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP,4,2025,12,29,29195
missouri,saline,2025-12-04,12/23/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP,4,2025,12,29,29195
