month	state	Avian-Domestic-Other	Avian-Wild	Cattle	Chicken	Human	Nonhuman-mammal	Turkey	Unknown
2021-12	SC	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-01	DE	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-01	FL	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-01	GA	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-01	MD	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-01	NC	0.0	88.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-01	NH	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-01	SC	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-01	TN	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-01	USA	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-01	VA	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-02	AL	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-02	CT	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-02	DE	0.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0
2022-02	FL	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-02	GA	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-02	IA	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-02	IN	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0
2022-02	KS	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-02	KY	0.0	6.0	0.0	6.0	0.0	0.0	1.0	0.0
2022-02	MA	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-02	ME	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-02	MI	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-02	MO	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-02	NC	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-02	NH	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-02	NJ	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-02	NY	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-02	OH	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-02	SC	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-02	TN	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-02	USA	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-02	VA	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03	CO	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03	CT	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03	DE	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0
2022-03	FL	0.0	93.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03	GA	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03	IA	0.0	29.0	0.0	26.0	0.0	0.0	7.0	0.0
2022-03	IL	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03	IN	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
2022-03	KS	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03	MA	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03	MD	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0
2022-03	ME	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03	MI	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03	MN	0.0	30.0	0.0	0.0	0.0	0.0	12.0	0.0
2022-03	MO	0.0	47.0	0.0	8.0	0.0	0.0	3.0	0.0
2022-03	NC	0.0	8.0	0.0	0.0	0.0	0.0	20.0	0.0
2022-03	ND	0.0	82.0	0.0	4.0	0.0	0.0	2.0	0.0
2022-03	NE	0.0	15.0	0.0	4.0	0.0	0.0	0.0	0.0
2022-03	NH	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03	NY	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03	OH	0.0	27.0	0.0	1.0	0.0	0.0	0.0	0.0
2022-03	PA	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03	SC	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03	SD	0.0	80.0	0.0	0.0	0.0	0.0	62.0	0.0
2022-03	TX	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03	USA	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03	VT	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03	WI	0.0	22.0	0.0	6.0	0.0	0.0	0.0	0.0
2022-03	WY	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04	AK	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04	CO	0.0	15.0	0.0	12.0	1.0	0.0	0.0	0.0
2022-04	CT	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04	FL	0.0	84.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04	IA	0.0	27.0	0.0	2.0	0.0	0.0	6.0	0.0
2022-04	ID	0.0	10.0	0.0	8.0	0.0	0.0	0.0	0.0
2022-04	IL	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04	IN	0.0	19.0	0.0	2.0	0.0	0.0	0.0	0.0
2022-04	KS	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0
2022-04	MA	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04	MD	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04	ME	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04	MI	0.0	55.0	0.0	16.0	0.0	0.0	0.0	0.0
2022-04	MN	0.0	225.0	0.0	12.0	0.0	0.0	75.0	0.0
2022-04	MO	0.0	8.0	0.0	0.0	0.0	0.0	2.0	0.0
2022-04	MT	0.0	32.0	0.0	16.0	0.0	0.0	0.0	0.0
2022-04	NC	0.0	0.0	0.0	12.0	0.0	0.0	10.0	0.0
2022-04	ND	0.0	256.0	0.0	8.0	0.0	0.0	8.0	0.0
2022-04	NE	0.0	7.0	0.0	4.0	0.0	0.0	0.0	0.0
2022-04	NH	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04	NY	0.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04	OH	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04	OK	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
2022-04	PA	0.0	5.0	0.0	34.0	0.0	0.0	0.0	0.0
2022-04	SD	0.0	6.0	0.0	0.0	0.0	0.0	36.0	0.0
2022-04	TN	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04	TX	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04	USA	0.0	13.0	0.0	2.0	0.0	0.0	1.0	0.0
2022-04	UT	0.0	0.0	0.0	6.0	0.0	0.0	1.0	0.0
2022-04	VA	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04	VT	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04	WA	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04	WI	0.0	93.0	0.0	2.0	0.0	0.0	5.0	0.0
2022-04	WY	0.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-05	AK	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-05	CO	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-05	FL	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-05	GA	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-05	IA	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-05	ID	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-05	IL	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-05	IN	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-05	MD	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-05	MI	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-05	MN	0.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0
