state_code,county_code,livestock,quarter,risk,riskp
1,1,cattle,1,138942.72672507618,Low
1,3,cattle,1,152649.34942751954,Low
1,5,cattle,1,252140.54425377995,Low
1,7,cattle,1,35680.49953381448,Low
1,9,cattle,1,185525.12831383254,Low
1,11,cattle,1,113069.90771307825,Low
1,13,cattle,1,60877.757097885304,Low
1,15,cattle,1,103790.57506539895,Low
1,17,cattle,1,291964.6274247995,Low
1,19,cattle,1,296735.38971786725,Low
1,21,cattle,1,96081.1483168052,Low
1,23,cattle,1,32661.021111982962,Low
1,25,cattle,1,65628.23279623647,Low
1,27,cattle,1,104176.48295431121,Low
1,29,cattle,1,68277.85325033483,Low
1,31,cattle,1,163148.23439784872,Low
1,33,cattle,1,441036.33287518803,Low
1,35,cattle,1,86190.90333828366,Low
1,37,cattle,1,20263.935311416066,Low
1,39,cattle,1,175123.6669213097,Low
1,41,cattle,1,161839.19172038298,Low
1,43,cattle,1,341354.27321048203,Low
1,45,cattle,1,85079.18088352785,Low
1,47,cattle,1,500409.3819256974,Low
1,49,cattle,1,363980.25166470424,Low
1,51,cattle,1,152944.01461408025,Low
1,53,cattle,1,66933.79592297654,Low
1,55,cattle,1,221190.43442060743,Low
1,57,cattle,1,25304.72102102477,Low
1,59,cattle,1,158291.26778910332,Low
1,61,cattle,1,227093.1482887498,Low
1,63,cattle,1,176683.23543169172,Low
1,65,cattle,1,706662.7936646297,Low
1,67,cattle,1,83342.30832440499,Low
1,69,cattle,1,145590.75208966483,Low
1,71,cattle,1,683226.8459838482,Low
1,73,cattle,1,22918.51394611815,Low
1,75,cattle,1,23742.737576192794,Low
1,77,cattle,1,674743.677062164,Low
1,79,cattle,1,542396.3672778711,Low
1,81,cattle,1,69488.99799757365,Low
1,83,cattle,1,669276.2680806584,Low
1,85,cattle,1,428862.6803217239,Low
1,87,cattle,1,75581.40419688428,Low
1,89,cattle,1,152040.00452615105,Low
1,91,cattle,1,488564.14189217356,Low
1,93,cattle,1,68843.1344732306,Low
1,95,cattle,1,949542.02595872,Low
1,97,cattle,1,170602.23288822803,Low
1,99,cattle,1,114425.51050941202,Low
1,101,cattle,1,645026.5373969472,Low
1,103,cattle,1,721217.594097995,Low
1,105,cattle,1,301322.75489876023,Low
1,107,cattle,1,313320.7316184649,Low
1,109,cattle,1,151065.44736010983,Low
1,111,cattle,1,200426.08424622464,Low
